2023-06-02T07:40:13.056Z | preview.controller.snowflakePreviewTable | INFO | Successfully connected to Snowflake. 
2023-06-02T07:40:13.474Z | preview.controller.snowflakePreviewTable | ERROR | Error executing queries 
2023-06-02T07:40:50.635Z | preview.controller.snowflakePreviewTable | INFO | Successfully connected to Snowflake. 
2023-06-02T07:40:50.980Z | preview.controller.snowflakePreviewTable | ERROR | Error executing queries 
2023-06-02T07:41:27.870Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-06-02T07:52:04.876Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-06-02T07:52:12.641Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-06-02T07:52:18.064Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-06-02T07:52:28.601Z | preview.controller.mysqlPreviewTable | INFO | MySQL preview successfull 
2023-06-02T07:52:34.271Z | preview.controller.snowflakePreviewTable | INFO | Successfully connected to Snowflake. 
2023-06-02T07:52:34.654Z | preview.controller.snowflakePreviewTable | ERROR | Error executing queries 
2023-06-02T07:52:46.489Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T07:56:59.626Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-06-02T07:56:59.726Z | configuration.controller.getConnectionForm | INFO | retrieving configuration Form View 
2023-06-02T07:57:48.632Z | testconnection.controller.mssqlConnection | INFO | connection successfull 
2023-06-02T07:57:53.746Z | connection.controller.create | INFO | connection has been created 
2023-06-02T07:57:53.952Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-06-02T07:58:37.030Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T07:58:37.334Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-06-02T07:59:06.031Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T07:59:06.622Z | preview.controller.myssqlPreviewTable | INFO | MSSQL Preview successfull 
2023-06-02T07:59:14.174Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T07:59:14.535Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T07:59:55.346Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T07:59:55.479Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:01:53.991Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:01:54.401Z | preview.controller.myssqlPreviewTable | INFO | MSSQL Preview successfull 
2023-06-02T08:02:01.030Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:02:01.263Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:02:25.896Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:02:26.117Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:02:45.652Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:02:45.837Z | preview.controller.myssqlPreviewTable | INFO | MSSQL Preview successfull 
2023-06-02T08:02:52.683Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:02:52.860Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:03:10.385Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-06-02T08:03:34.511Z | preview.controller.snowflakePreviewTable | INFO | Successfully connected to Snowflake. 
2023-06-02T08:03:35.344Z | preview.controller.snowflakePreviewTable | ERROR | Error executing queries 
2023-06-02T08:04:10.656Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-06-02T08:06:54.117Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T08:06:54.293Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-06-02T08:07:13.209Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-06-02T08:07:14.639Z | configuration.controller.getConnectionForm | INFO | retrieving configuration Form View 
2023-06-02T08:07:36.703Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-06-02T08:07:36.759Z | configuration.controller.getConnectionForm | INFO | retrieving configuration Form View 
2023-06-02T08:09:24.844Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T08:09:25.099Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-06-02T08:10:07.345Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-06-02T08:12:13.135Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:13.311Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:21.559Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:21.666Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:21.746Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:21.881Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:21.973Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:22.089Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:22.195Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:22.335Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:22.447Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:22.577Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:22.672Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:22.833Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:22.901Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:23.034Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:23.170Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:23.332Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:23.446Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:23.584Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:23.656Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:23.794Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:23.901Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:24.035Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:24.156Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:24.310Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:24.399Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:24.526Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
